,Artista,link
123,Simple Plan,https://www.bandsintown.com/a/363?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
124,The Band Perry,https://www.bandsintown.com/a/386741?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
125,The Beach Boys,https://www.bandsintown.com/a/1921?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
126,Little Mix,https://www.bandsintown.com/a/2111475?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
127,Niall Horan,https://www.bandsintown.com/a/1132190?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
128,Camila Cabello,https://www.bandsintown.com/a/5117986?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
129,Newsboys,https://www.bandsintown.com/a/27804?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
130,Fifth Harmony,https://www.bandsintown.com/a/5350473?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
131,Phil Collins,https://www.bandsintown.com/a/50316?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
132,Melanie Martinez,https://www.bandsintown.com/a/2274987?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
133,Robin Thicke,https://www.bandsintown.com/a/216?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
134,DJ Snake,https://www.bandsintown.com/a/691727?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
135,Backstreet Boys,https://www.bandsintown.com/a/50193?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
136,Hunter Hayes,https://www.bandsintown.com/a/140925?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
137,Prince,https://www.bandsintown.com/a/1032?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
138,Jeremih,https://www.bandsintown.com/a/288901?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
139,DOJA CAT,https://www.bandsintown.com/a/6748623?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
140,Gotye,https://www.bandsintown.com/a/6227?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
141,Young the Giant,https://www.bandsintown.com/a/933590?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
142,Sting,https://www.bandsintown.com/a/1826?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
143,BOYS LIKE GIRLS,https://www.bandsintown.com/a/306?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
144,No Doubt,https://www.bandsintown.com/a/472?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
145,Good Charlotte,https://www.bandsintown.com/a/310?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
146,Colbie Caillat,https://www.bandsintown.com/a/251?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
147,Taio Cruz,https://www.bandsintown.com/a/3178?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
